Наименование|Обозначение|Кол-во|Материал|Материал2|Материал3|ID|Кол-во на изд.|Масса|Покуп. изд.|Сумм.кол-во|1|комплектация|изготовление|контроль|2|комплектация|изготовление|контроль|3|комплектация|изготовление|контроль|1|комплектация|изготовление|контроль|2|комплектация|изготовление|контроль|3|комплектация|изготовление|контроль|4|комплектация|изготовление|контроль|2|комплектация|изготовление|контроль|5|комплектация|изготовление|контроль|030101|комплектация|изготовление|контроль
    Штанга транспортировочная|    КТ.1408182.11.07|5|Лист|Б-ПН-8 ГОСТ 19903-2015|Ст3сп5 ГОСТ 14637-89|0x108000412|1|6.07||30|||||||||||||||||||||||||||||||||||||Время: 16 мин.$Операции:$005;010|||
    Штанга транспортировочная|    КТ.1408182.11.07|5|Лист|Б-ПН-8 ГОСТ 19903-2015|Ст3сп5 ГОСТ 14637-89|0x108000413|1|6.07||30|||||||||||||||||||||||||||||||||||||Время: 16 мин.$Операции:$005;010|||
    Шайба C.16.01.016 ГОСТ 11371-78|    |5|Шайба C.16.01.016 ГОСТ 11371-78|||0x108000414|1|0.0109|+|120|||||||||||||||||||||||||||||||||||||Время: 16 мин.$Операции:$005;010|||
    Шайба C.16.01.016 ГОСТ 11371-78|    |5|Шайба C.16.01.016 ГОСТ 11371-78|||0x108000415|1|0.0109|+|120|||||||||||||||||||||||||||||||||||||Время: 16 мин.$Операции:$005;010|||
    Шайба C.16.01.016 ГОСТ 11371-78|    |5|Шайба C.16.01.016 ГОСТ 11371-78|||0x108000416|1|0.0109|+|120|||||||||||||||||||||||||||||||||||||Время: 16 мин.$Операции:$005;010|||
    Шайба C.16.01.016 ГОСТ 11371-78|    |5|Шайба C.16.01.016 ГОСТ 11371-78|||0x108000417|1|0.0109|+|120|||||||||||||||||||||||||||||||||||||Время: 16 мин.$Операции:$005;010|||
    Шайба C.16.01.016 ГОСТ 11371-78|    |5|Шайба C.16.01.016 ГОСТ 11371-78|||0x108000418|1|0.0109|+|120|||||||||||||||||||||||||||||||||||||Время: 16 мин.$Операции:$005;010|||
    Шайба C.16.01.016 ГОСТ 11371-78|    |5|Шайба C.16.01.016 ГОСТ 11371-78|||0x108000419|1|0.0109|+|120|||||||||||||||||||||||||||||||||||||Время: 16 мин.$Операции:$005;010|||
    Шайба C.16.01.016 ГОСТ 11371-78|    |5|Шайба C.16.01.016 ГОСТ 11371-78|||0x108000474|1|0.0109|+|120|||||||||||||||||||||||||||||||||||||Время: 16 мин.$Операции:$005;010|||
    Шайба C.16.01.016 ГОСТ 11371-78|    |5|Шайба C.16.01.016 ГОСТ 11371-78|||0x108000475|1|0.0109|+|120|||||||||||||||||||||||||||||||||||||Время: 16 мин.$Операции:$005;010|||
    Шайба C.16.01.016 ГОСТ 11371-78|    |5|Шайба C.16.01.016 ГОСТ 11371-78|||0x108000476|1|0.0109|+|120|||||||||||||||||||||||||||||||||||||Время: 16 мин.$Операции:$005;010|||
    Шайба C.16.01.016 ГОСТ 11371-78|    |5|Шайба C.16.01.016 ГОСТ 11371-78|||0x108000477|1|0.0109|+|120|||||||||||||||||||||||||||||||||||||Время: 16 мин.$Операции:$005;010|||
    Шайба C.16.01.016 ГОСТ 11371-78|    |5|Шайба C.16.01.016 ГОСТ 11371-78|||0x108000478|1|0.0109|+|120|||||||||||||||||||||||||||||||||||||Время: 16 мин.$Операции:$005;010|||
    Шайба C.16.01.016 ГОСТ 11371-78|    |5|Шайба C.16.01.016 ГОСТ 11371-78|||0x108000479|1|0.0109|+|120|||||||||||||||||||||||||||||||||||||Время: 16 мин.$Операции:$005;010|||
    Шайба C.16.01.016 ГОСТ 11371-78|    |5|Шайба C.16.01.016 ГОСТ 11371-78|||0x108000594|1|0.0109|+|120|||||||||||||||||||||||||||||||||||||Время: 16 мин.$Операции:$005;010|||
    Шайба C.16.01.016 ГОСТ 11371-78|    |5|Шайба C.16.01.016 ГОСТ 11371-78|||0x108000595|1|0.0109|+|120|||||||||||||||||||||||||||||||||||||Время: 16 мин.$Операции:$005;010|||
    Шайба C.16.01.016 ГОСТ 11371-78|    |5|Шайба C.16.01.016 ГОСТ 11371-78|||0x108000596|1|0.0109|+|120|||||||||||||||||||||||||||||||||||||Время: 16 мин.$Операции:$005;010|||
    Шайба C.16.01.016 ГОСТ 11371-78|    |5|Шайба C.16.01.016 ГОСТ 11371-78|||0x108000597|1|0.0109|+|120|||||||||||||||||||||||||||||||||||||Время: 16 мин.$Операции:$005;010|||
    Шайба C.16.01.016 ГОСТ 11371-78|    |5|Шайба C.16.01.016 ГОСТ 11371-78|||0x108000598|1|0.0109|+|120|||||||||||||||||||||||||||||||||||||Время: 16 мин.$Операции:$005;010|||
    Шайба C.16.01.016 ГОСТ 11371-78|    |5|Шайба C.16.01.016 ГОСТ 11371-78|||0x108000599|1|0.0109|+|120|||||||||||||||||||||||||||||||||||||Время: 16 мин.$Операции:$005;010|||
    Шайба C.16.01.016 ГОСТ 11371-78|    |5|Шайба C.16.01.016 ГОСТ 11371-78|||0x1080005AC|1|0.0109|+|120|||||||||||||||||||||||||||||||||||||Время: 16 мин.$Операции:$005;010|||
    Шайба C.16.01.016 ГОСТ 11371-78|    |5|Шайба C.16.01.016 ГОСТ 11371-78|||0x1080005AD|1|0.0109|+|120|||||||||||||||||||||||||||||||||||||Время: 16 мин.$Операции:$005;010|||
    Шайба C.16.01.016 ГОСТ 11371-78|    |5|Шайба C.16.01.016 ГОСТ 11371-78|||0x1080005AE|1|0.0109|+|120|||||||||||||||||||||||||||||||||||||Время: 16 мин.$Операции:$005;010|||
    Шайба C.16.01.016 ГОСТ 11371-78|    |5|Шайба C.16.01.016 ГОСТ 11371-78|||0x1080005AF|1|0.0109|+|120|||||||||||||||||||||||||||||||||||||Время: 16 мин.$Операции:$005;010|||
    Шайба C.16.01.016 ГОСТ 11371-78|    |5|Шайба C.16.01.016 ГОСТ 11371-78|||0x1080005B0|1|0.0109|+|120|||||||||||||||||||||||||||||||||||||Время: 16 мин.$Операции:$005;010|||
    Шайба C.16.01.016 ГОСТ 11371-78|    |5|Шайба C.16.01.016 ГОСТ 11371-78|||0x1080005B1|1|0.0109|+|120|||||||||||||||||||||||||||||||||||||Время: 16 мин.$Операции:$005;010|||
    Винт с шестигранной головкой ГОСТ Р ИСО 4017 - М16x50-8.8-A6J|    |5|Винт с шестигранной головкой ГОСТ Р ИСО 4017 - М16x50-8.8-A6J|||0x1080004D4|1|0.116|+|30|||||||||||||||||||||||||||||||||||||Время: 16 мин.$Операции:$005;010|||
    Винт с шестигранной головкой ГОСТ Р ИСО 4017 - М16x50-8.8-A6J|    |5|Винт с шестигранной головкой ГОСТ Р ИСО 4017 - М16x50-8.8-A6J|||0x1080004D5|1|0.116|+|30|||||||||||||||||||||||||||||||||||||Время: 16 мин.$Операции:$005;010|||
    Винт с шестигранной головкой ГОСТ Р ИСО 4017 - М16x50-8.8-A6J|    |5|Винт с шестигранной головкой ГОСТ Р ИСО 4017 - М16x50-8.8-A6J|||0x1080004D6|1|0.116|+|30|||||||||||||||||||||||||||||||||||||Время: 16 мин.$Операции:$005;010|||
    Винт с шестигранной головкой ГОСТ Р ИСО 4017 - М16x50-8.8-A6J|    |5|Винт с шестигранной головкой ГОСТ Р ИСО 4017 - М16x50-8.8-A6J|||0x1080004D7|1|0.116|+|30|||||||||||||||||||||||||||||||||||||Время: 16 мин.$Операции:$005;010|||
    Винт с шестигранной головкой ГОСТ Р ИСО 4017 - М16x50-8.8-A6J|    |5|Винт с шестигранной головкой ГОСТ Р ИСО 4017 - М16x50-8.8-A6J|||0x1080004D8|1|0.116|+|30|||||||||||||||||||||||||||||||||||||Время: 16 мин.$Операции:$005;010|||
    Винт с шестигранной головкой ГОСТ Р ИСО 4017 - М16x50-8.8-A6J|    |5|Винт с шестигранной головкой ГОСТ Р ИСО 4017 - М16x50-8.8-A6J|||0x1080004D9|1|0.116|+|30|||||||||||||||||||||||||||||||||||||Время: 16 мин.$Операции:$005;010|||
    Гайка шестигранная нормальная ГОСТ ISO 4032 - М16-8-А6J|    |5|Гайка шестигранная нормальная ГОСТ ISO 4032 - М16-8-А6J|||0x108000534|1|0.039|+|60|||||||||||||||||||||||||||||||||||||Время: 16 мин.$Операции:$005;010|||
    Гайка шестигранная нормальная ГОСТ ISO 4032 - М16-8-А6J|    |5|Гайка шестигранная нормальная ГОСТ ISO 4032 - М16-8-А6J|||0x108000535|1|0.039|+|60|||||||||||||||||||||||||||||||||||||Время: 16 мин.$Операции:$005;010|||
    Гайка шестигранная нормальная ГОСТ ISO 4032 - М16-8-А6J|    |5|Гайка шестигранная нормальная ГОСТ ISO 4032 - М16-8-А6J|||0x108000536|1|0.039|+|60|||||||||||||||||||||||||||||||||||||Время: 16 мин.$Операции:$005;010|||
    Гайка шестигранная нормальная ГОСТ ISO 4032 - М16-8-А6J|    |5|Гайка шестигранная нормальная ГОСТ ISO 4032 - М16-8-А6J|||0x108000537|1|0.039|+|60|||||||||||||||||||||||||||||||||||||Время: 16 мин.$Операции:$005;010|||
    Гайка шестигранная нормальная ГОСТ ISO 4032 - М16-8-А6J|    |5|Гайка шестигранная нормальная ГОСТ ISO 4032 - М16-8-А6J|||0x108000538|1|0.039|+|60|||||||||||||||||||||||||||||||||||||Время: 16 мин.$Операции:$005;010|||
    Гайка шестигранная нормальная ГОСТ ISO 4032 - М16-8-А6J|    |5|Гайка шестигранная нормальная ГОСТ ISO 4032 - М16-8-А6J|||0x108000539|1|0.039|+|60|||||||||||||||||||||||||||||||||||||Время: 16 мин.$Операции:$005;010|||
    Винт с шестигранной головкой ГОСТ Р ИСО 4017 - М16x60-8.8-A6J|    |5|Винт с шестигранной головкой ГОСТ Р ИСО 4017 - М16x60-8.8-A6J|||0x1080005C4|1|0.132|+|30|||||||||||||||||||||||||||||||||||||Время: 16 мин.$Операции:$005;010|||
    Винт с шестигранной головкой ГОСТ Р ИСО 4017 - М16x60-8.8-A6J|    |5|Винт с шестигранной головкой ГОСТ Р ИСО 4017 - М16x60-8.8-A6J|||0x1080005C5|1|0.132|+|30|||||||||||||||||||||||||||||||||||||Время: 16 мин.$Операции:$005;010|||
