Наименование|Обозначение|Кол-во|Материал|Материал2|Материал3|Кол-во на изд.|Масса|Покуп. изд.|1|комплектация|изготовление|контроль|2|комплектация|изготовление|контроль|3|комплектация|изготовление|контроль|1|комплектация|изготовление|контроль|2|комплектация|изготовление|контроль|3|комплектация|изготовление|контроль|4|комплектация|изготовление|контроль|2|комплектация|изготовление|контроль|5|комплектация|изготовление|контроль|030101|комплектация|изготовление|контроль
    Планка опорная|    КТ.1408182.11.06|6||||6|9.68||||||||||||||||||||||||||||||||||||||Время: 30 мин.$Операции:$005;010|||
        Сектор|        КТ.1408182.11.06.001|6|Лист|Б-ПН-6 ГОСТ 19903-2015|Ст3сп5 ГОСТ 14637-89|6|1.61||||||||||||||||||||||||||||||||||||||Время: 30 мин.$Операции:$005;010|||
        Сектор|        КТ.1408182.11.06.001|6|Лист|Б-ПН-6 ГОСТ 19903-2015|Ст3сп5 ГОСТ 14637-89|6|1.61||||||||||||||||||||||||||||||||||||||Время: 30 мин.$Операции:$005;010|||
        Сектор|        КТ.1408182.11.06.001|6|Лист|Б-ПН-6 ГОСТ 19903-2015|Ст3сп5 ГОСТ 14637-89|6|1.61||||||||||||||||||||||||||||||||||||||Время: 30 мин.$Операции:$005;010|||
        Сектор|        КТ.1408182.11.06.001|6|Лист|Б-ПН-6 ГОСТ 19903-2015|Ст3сп5 ГОСТ 14637-89|6|1.61||||||||||||||||||||||||||||||||||||||Время: 30 мин.$Операции:$005;010|||
        Сектор|        КТ.1408182.11.06.001|6|Лист|Б-ПН-6 ГОСТ 19903-2015|Ст3сп5 ГОСТ 14637-89|6|1.61||||||||||||||||||||||||||||||||||||||Время: 30 мин.$Операции:$005;010|||
        Сектор|        КТ.1408182.11.06.001|6|Лист|Б-ПН-6 ГОСТ 19903-2015|Ст3сп5 ГОСТ 14637-89|6|1.61||||||||||||||||||||||||||||||||||||||Время: 30 мин.$Операции:$005;010|||
    Штанга транспортировочная|    КТ.1408182.11.07|6|Лист|Б-ПН-8 ГОСТ 19903-2015|Ст3сп5 ГОСТ 14637-89|6|6.07||||||||||||||||||||||||||||||||||||||Время: 30 мин.$Операции:$005;010|||
    Штанга транспортировочная|    КТ.1408182.11.07|6|Лист|Б-ПН-8 ГОСТ 19903-2015|Ст3сп5 ГОСТ 14637-89|6|6.07||||||||||||||||||||||||||||||||||||||Время: 30 мин.$Операции:$005;010|||
    Штанга транспортировочная|    КТ.1408182.11.07|6|Лист|Б-ПН-8 ГОСТ 19903-2015|Ст3сп5 ГОСТ 14637-89|6|6.07||||||||||||||||||||||||||||||||||||||Время: 30 мин.$Операции:$005;010|||
    Штанга транспортировочная|    КТ.1408182.11.07|6|Лист|Б-ПН-8 ГОСТ 19903-2015|Ст3сп5 ГОСТ 14637-89|6|6.07||||||||||||||||||||||||||||||||||||||Время: 30 мин.$Операции:$005;010|||
    Штанга транспортировочная|    КТ.1408182.11.07|6|Лист|Б-ПН-8 ГОСТ 19903-2015|Ст3сп5 ГОСТ 14637-89|6|6.07||||||||||||||||||||||||||||||||||||||Время: 30 мин.$Операции:$005;010|||
    Штанга транспортировочная|    КТ.1408182.11.07|6|Лист|Б-ПН-8 ГОСТ 19903-2015|Ст3сп5 ГОСТ 14637-89|6|6.07||||||||||||||||||||||||||||||||||||||Время: 30 мин.$Операции:$005;010|||
    Шайба C.16.01.016 ГОСТ 11371-78|    |6|Шайба C.16.01.016 ГОСТ 11371-78|||6|0.0109|+|||||||||||||||||||||||||||||||||||||Время: 30 мин.$Операции:$005;010|||
    Шайба C.16.01.016 ГОСТ 11371-78|    |6|Шайба C.16.01.016 ГОСТ 11371-78|||6|0.0109|+|||||||||||||||||||||||||||||||||||||Время: 30 мин.$Операции:$005;010|||
